row_number,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,DistanceFromHome,RelationshipSatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,StockOptionLevel,TrainingTimesLastYear,JobLevel,Attrition,YearsAtCompany
1,Female,41,Single,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,5993,19479,1102,94,11,1,Low,Medium,High,Very High,Bad,Excellent,8,8,4,0,5,Yes,0,0,2,Yes,6
2,Male,49,Married,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,5130,24907,279,61,23,8,Very High,High,Medium,Medium,Better,Outstanding,1,10,7,1,7,No,1,3,2,No,10
3,Male,37,Single,College,Other,Research & Development,Laboratory Technician,Travel_Rarely,2090,2396,1373,92,15,2,Medium,Very High,Medium,High,Better,Excellent,6,7,0,0,0,Yes,0,3,1,Yes,0
4,Female,33,Married,Master,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,2909,23159,1392,56,11,3,High,Very High,High,High,Better,Excellent,1,8,7,3,0,Yes,0,3,1,No,8
5,Male,27,Married,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3468,16632,591,40,12,2,Very High,Low,High,Medium,Better,Excellent,9,6,2,2,2,No,1,3,1,No,2
6,Male,32,Single,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,3068,11864,1005,79,13,2,High,Very High,High,Very High,Good,Excellent,0,8,7,3,6,No,0,2,1,No,7
7,Female,59,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2670,9964,1324,81,20,3,Low,High,Very High,Low,Good,Outstanding,4,12,0,0,0,Yes,3,3,1,No,1
8,Male,30,Divorced,Below College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2693,13335,1358,67,22,24,Medium,Very High,High,High,Better,Outstanding,1,1,0,0,0,No,1,2,1,No,1
9,Male,38,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Frequently,9526,8787,216,44,21,23,Medium,Very High,Medium,High,Better,Outstanding,0,10,7,1,8,No,0,2,3,No,9
10,Male,36,Married,Bachelor,Medical,Research & Development,Healthcare Representative,Travel_Rarely,5237,16577,1299,94,13,27,Medium,High,High,High,Good,Excellent,6,17,7,7,7,No,2,3,2,No,7
11,Male,35,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2426,16479,809,84,13,16,High,Low,Very High,Medium,Better,Excellent,0,6,4,0,3,No,1,5,1,No,5
12,Female,29,Single,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,4193,12682,153,49,12,15,Very High,Very High,Medium,High,Better,Excellent,0,10,5,0,8,Yes,0,3,2,No,9
13,Male,31,Divorced,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2911,15170,670,31,17,26,Very High,Low,High,High,Good,Excellent,1,5,2,4,3,No,1,1,1,No,5
14,Male,34,Divorced,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2661,8758,1346,93,11,19,High,Medium,High,Very High,Better,Excellent,0,3,2,1,2,No,1,2,1,No,2
15,Male,28,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2028,12947,103,50,14,24,Medium,High,Medium,High,Better,Excellent,5,6,2,0,3,Yes,0,4,1,Yes,4
16,Female,29,Divorced,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,9980,10195,1389,51,11,21,High,Medium,Very High,Low,Better,Excellent,1,10,9,8,8,No,1,1,3,No,10
17,Male,32,Divorced,College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3298,15053,334,80,12,5,Very High,Low,Very High,Medium,Good,Excellent,0,7,2,0,5,Yes,2,5,1,No,6
18,Male,22,Divorced,College,Medical,Research & Development,Laboratory Technician,Non-Travel,2935,7324,1123,96,13,16,Medium,Very High,Very High,Very High,Good,Excellent,1,1,0,0,0,Yes,2,2,1,No,1
19,Female,53,Married,Master,Life Sciences,Sales,Manager,Travel_Rarely,15427,22021,1219,78,16,2,High,Low,Medium,Very High,Better,Excellent,2,31,8,3,7,No,0,3,4,No,25
20,Male,38,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3944,4306,371,45,11,2,High,Very High,High,Very High,Better,Excellent,5,6,2,1,2,Yes,0,3,1,No,3
21,Female,24,Divorced,College,Other,Research & Development,Manufacturing Director,Non-Travel,4011,8232,673,96,18,11,Very High,Low,Very High,High,Good,Excellent,0,5,2,1,3,No,1,5,2,No,4
22,Male,36,Single,Master,Life Sciences,Sales,Sales Representative,Travel_Rarely,3407,6986,1218,82,23,9,Medium,High,Medium,Low,Better,Outstanding,7,10,3,0,3,No,0,4,1,Yes,5
23,Female,34,Single,Master,Life Sciences,Research & Development,Research Director,Travel_Rarely,11994,21293,419,53,11,7,High,Low,High,Medium,Better,Excellent,0,13,6,2,11,No,0,4,3,No,12
24,Male,21,Single,College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,1232,19281,391,96,14,15,Very High,High,High,Very High,Better,Excellent,1,0,0,0,0,No,0,6,1,No,0
25,Male,34,Single,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,2960,17102,699,83,11,6,High,Medium,High,Low,Better,Excellent,2,8,2,1,3,No,0,2,1,Yes,4
26,Female,53,Divorced,Bachelor,Other,Research & Development,Manager,Travel_Rarely,19094,10735,1282,58,11,5,Very High,High,High,High,Good,Excellent,4,26,13,4,8,No,1,3,5,No,14
27,Female,32,Single,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,3919,4681,1125,72,22,16,Medium,Medium,Low,Low,Better,Outstanding,1,10,2,6,7,Yes,0,5,1,Yes,10
28,Male,42,Married,Master,Marketing,Sales,Sales Executive,Travel_Rarely,6825,21173,691,48,11,8,Very High,High,High,Medium,Better,Excellent,0,10,7,4,2,No,1,2,2,No,9
29,Female,44,Married,Master,Medical,Research & Development,Healthcare Representative,Travel_Rarely,10248,2094,477,42,14,7,Very High,Low,Medium,Very High,Better,Excellent,3,24,6,5,17,No,1,4,3,No,22
30,Female,46,Single,Master,Marketing,Sales,Manager,Travel_Rarely,18947,22822,705,83,12,2,Very High,Medium,High,Low,Good,Excellent,3,22,2,2,1,No,0,2,5,No,2
31,Male,33,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2496,6670,924,78,11,2,Very High,High,High,Very High,Better,Excellent,4,7,1,0,0,No,0,3,1,No,1
32,Male,44,Married,Master,Other,Research & Development,Healthcare Representative,Travel_Rarely,6465,19121,1459,41,13,10,Very High,Very High,High,Very High,Best,Excellent,2,9,2,1,3,Yes,0,5,2,No,4
33,Male,30,Single,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,2206,16117,125,83,13,9,Low,Very High,Medium,High,Better,Excellent,1,10,0,1,8,No,0,5,1,No,10
34,Male,39,Married,Bachelor,Technical Degree,Sales,Sales Representative,Travel_Rarely,2086,3335,895,56,14,5,High,Very High,High,Very High,Best,Excellent,3,19,0,0,0,No,1,6,2,Yes,1
35,Male,24,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2293,3020,813,61,16,1,Low,Medium,High,Very High,Good,Excellent,2,6,0,2,0,Yes,1,2,1,Yes,2
36,Female,43,Divorced,College,Medical,Research & Development,Research Scientist,Travel_Rarely,2645,21923,1273,72,12,2,Very High,Very High,Very High,High,Good,Excellent,1,6,3,1,4,No,2,3,1,No,5
37,Male,50,Married,College,Marketing,Sales,Sales Representative,Travel_Rarely,2683,3810,869,86,14,3,High,Low,Medium,High,Better,Excellent,1,3,2,0,2,Yes,0,2,1,Yes,3
38,Female,35,Married,Bachelor,Marketing,Sales,Sales Representative,Travel_Rarely,2014,9687,890,97,13,2,Low,Very High,High,Very High,Better,Excellent,1,2,2,2,2,No,0,3,1,No,2
39,Female,36,Married,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3419,13072,852,82,14,5,Very High,Medium,Medium,Low,Best,Excellent,9,6,1,0,0,Yes,1,3,1,No,1
40,Female,33,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Frequently,5376,3193,1141,42,19,1,Low,High,Very High,Low,Better,Excellent,2,10,3,1,3,No,2,3,2,No,5
41,Male,35,Divorced,College,Other,Research & Development,Laboratory Technician,Travel_Rarely,1951,10910,464,75,12,4,High,High,High,Very High,Better,Excellent,1,1,0,0,0,No,1,3,1,No,1
42,Female,27,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2341,19715,1240,33,13,2,Very High,Very High,High,Low,Better,Excellent,1,1,0,0,0,No,1,6,1,No,1
43,Male,26,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2293,10558,1357,48,12,25,High,Low,Low,High,Good,Excellent,1,1,0,0,1,No,0,2,1,Yes,1
44,Male,27,Single,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Frequently,8726,2975,994,37,15,8,Very High,Very High,High,High,Better,Excellent,1,9,8,1,7,No,0,0,3,No,9
45,Female,30,Single,College,Medical,Research & Development,Laboratory Technician,Travel_Frequently,4011,10781,721,58,23,1,Very High,High,High,Very High,Better,Outstanding,1,12,8,3,7,No,0,2,2,No,12
46,Female,41,Married,Bachelor,Technical Degree,Research & Development,Research Director,Travel_Rarely,19545,16280,1360,49,12,12,Very High,Medium,High,High,Better,Excellent,1,23,15,15,8,No,0,0,5,Yes,22
47,Male,34,Single,Master,Marketing,Sales,Sales Executive,Non-Travel,4568,10034,1065,72,20,23,High,Medium,High,High,Better,Outstanding,0,10,5,8,7,No,0,2,2,No,9
48,Male,37,Married,College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3022,10227,408,73,21,19,Low,Medium,High,Medium,Better,Outstanding,4,8,0,0,0,No,0,1,1,No,1
49,Male,46,Single,Master,Marketing,Sales,Sales Executive,Travel_Frequently,5772,20445,1211,98,21,5,High,Low,High,Very High,Better,Outstanding,4,14,6,0,8,Yes,0,4,2,No,9
50,Male,35,Married,Below College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2269,4892,1229,36,19,8,Very High,Very High,Very High,Very High,Better,Excellent,1,1,0,0,1,No,0,2,1,No,1
51,Male,48,Single,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,5381,19294,626,98,13,1,Very High,Low,Medium,High,Better,Excellent,9,23,0,0,0,Yes,0,2,3,Yes,1
